Cases,Date,Country
1,4/1/2014,Anguilla
3,5/1/2014,Anguilla
693,9/1/2014,Anguilla
570,10/1/2014,Anguilla
150,11/1/2014,Anguilla
15,12/1/2014,Anguilla
12,1/1/2015,Anguilla
14,2/1/2015,Anguilla
3,3/1/2015,Anguilla
7,4/1/2015,Anguilla
10,6/1/2016,Anguilla
1,2/1/2014,Antigua and Barbuda
1,6/1/2014,Antigua and Barbuda
2,8/1/2014,Antigua and Barbuda
100,9/1/2014,Antigua and Barbuda
68,10/1/2014,Antigua and Barbuda
137,11/1/2014,Antigua and Barbuda
107,12/1/2014,Antigua and Barbuda
529,1/1/2015,Antigua and Barbuda
410,2/1/2015,Antigua and Barbuda
2,3/1/2015,Antigua and Barbuda
40,6/1/2016,Antigua and Barbuda
51,3/1/2016,Argentina
48,4/1/2016,Argentina
2596,5/1/2016,Argentina
335,6/1/2016,Argentina
451,7/1/2016,Argentina
97,8/1/2016,Argentina
138,9/1/2016,Argentina
11,2/1/2014,Aruba
21,3/1/2014,Aruba
1,4/1/2014,Aruba
5,7/1/2014,Aruba
7,10/1/2014,Aruba
35,12/1/2014,Aruba
28,1/1/2015,Aruba
8,2/1/2015,Aruba
18,6/1/2015,Aruba
1,7/1/2014,Bahamas
79,8/1/2014,Bahamas
506,10/1/2014,Bahamas
1005,11/1/2014,Bahamas
50,12/1/2014,Bahamas
222,1/1/2015,Bahamas
1,2/1/2015,Bahamas
3,4/1/2015,Bahamas
76,5/1/2016,Bahamas
5,1/1/2014,Barbados
2,3/1/2014,Barbados
2,4/1/2014,Barbados
11,5/1/2014,Barbados
24,10/1/2014,Barbados
350,12/1/2014,Barbados
155,3/1/2015,Barbados
237,6/1/2015,Barbados
86,5/1/2016,Barbados
59,8/1/2016,Belize
29,2/1/2015,Bermuda
3,6/1/2016,Bermuda
575,4/1/2015,Bolivia
5173,3/1/2016,Bolivia
1725,4/1/2016,Bolivia
8890,6/1/2016,Bolivia
4270,7/1/2016,Bolivia
359,10/1/2016,Bolivia
256,11/1/2016,Bolivia
539,3/1/2017,Bolivia
750,5/1/2017,Bolivia
1789,6/1/2017,Bolivia
63,7/1/2017,Bolivia
64,8/1/2017,Bolivia
30,9/1/2017,Bolivia
37,10/1/2017,Bolivia
14,11/1/2017,Bolivia
72,12/1/2017,Bolivia
13,7/1/2014,Bonaire Saint Eustatius and Saba
