Country,Month of Date,YEAR,WEEK,Cases
Saint Barthelemy,01/12/13,2013,48,8
Martinique,01/12/13,2013,48,8
Saint Martin,01/12/13,2013,48,89
Sint Maarten,01/12/13,2013,48,1
Guadeloupe,01/12/13,2013,48,3
Turks and Caicos Islands,01/01/14,2014,1,9
Barbados,01/01/14,2014,1,5
Puerto Rico,01/01/14,2014,1,48
Dominica,01/01/14,2014,1,4
Suriname,01/01/14,2014,1,387
Saint Lucia,01/01/14,2014,1,356
French Guyana,01/01/14,2014,1,113
Aruba,01/02/14,2014,5,11
Turks and Caicos Islands,01/02/14,2014,5,55
Antigua and Barbuda,01/02/14,2014,5,1
Puerto Rico,01/02/14,2014,5,71
Dominica,01/02/14,2014,5,51
Paraguay,01/02/14,2014,5,1
Suriname,01/02/14,2014,5,289
Grenada,01/02/14,2014,5,10
Saint Lucia,01/02/14,2014,5,694
French Guyana,01/02/14,2014,5,357
Aruba,01/03/14,2014,9,21
Turks and Caicos Islands,01/03/14,2014,9,58
Barbados,01/03/14,2014,9,2
Puerto Rico,01/03/14,2014,9,440
Dominica,01/03/14,2014,9,584
Suriname,01/03/14,2014,9,2865
Grenada,01/03/14,2014,9,15
Saint Lucia,01/03/14,2014,9,11626
French Guyana,01/03/14,2014,9,3066
Aruba,01/04/14,2014,14,1
Barbados,01/04/14,2014,14,2
Sint Maarten,01/04/14,2014,14,27
Anguilla,01/04/14,2014,14,1
Puerto Rico,01/04/14,2014,14,53
Dominica,01/04/14,2014,14,718
Suriname,01/04/14,2014,14,323
Grenada,01/04/14,2014,14,18
Saint Lucia,01/04/14,2014,14,8531
French Guyana,01/04/14,2014,14,5789
Dominican Republic,01/04/14,2014,14,7537
Barbados,01/05/14,2014,18,11
Sint Maarten,01/05/14,2014,18,140
Anguilla,01/05/14,2014,18,3
Puerto Rico,01/05/14,2014,18,35
Dominica,01/05/14,2014,18,582
Paraguay,01/05/14,2014,18,21
Suriname,01/05/14,2014,18,160
Grenada,01/05/14,2014,18,157
Peru,01/05/14,2014,18,1
El Salvador,01/05/14,2014,18,4
Haiti,01/05/14,2014,18,6318
Saint Lucia,01/05/14,2014,18,9500
French Guyana,01/05/14,2014,18,15097
Honduras,01/05/14,2014,18,2
Dominican Republic,01/05/14,2014,18,31119
United States of America,01/06/14,2014,22,2
Trinidad and Tobago,01/06/14,2014,22,13
Antigua and Barbuda,01/06/14,2014,22,1
Sint Maarten,01/06/14,2014,22,229
Puerto Rico,01/06/14,2014,22,107
Dominica,01/06/14,2014,22,1304
Paraguay,01/06/14,2014,22,37
